complication,n_with_complication,deaths_with_complication,mortality_rate_with_complication,n_without_complication,deaths_without_complication,mortality_rate_without_complication,odds_ratio,ci_low,ci_high,p_value,note
Wound Infection,66,4,0.06060606060606061,2935,68,0.023168654173764906,2.7186494699840185,0.6983697373524003,7.641071638668502,0.07205018393322375,
Pneumonia,210,31,0.14761904761904762,2791,41,0.0146900752418488,11.59298805899269,6.8518669078451016,19.450085412915243,3.308837778270472e-18,
PULEMBOL,30,6,0.2,2971,66,0.02221474251093908,10.976046886092362,3.5502434856815115,28.774076406905,5.818958476476643e-5,
Prologned/re Intubation,163,53,0.32515337423312884,2838,19,0.0066948555320648345,71.1700019297776,39.82243530424131,131.64592604362633,5.871741771069848e-55,
RENAINSF,14,4,0.2857142857142857,2987,68,0.022765316370940744,17.10750639513547,3.820309374631353,61.164844683029216,2.5433359026190205e-4,
Renal Failure,17,6,0.35294117647058826,2984,66,0.022117962466487937,23.999010986922222,7.06938923753985,73.43816174563918,1.553218765836498e-6,
Stroke,12,4,0.3333333333333333,2989,68,0.022750083640013383,21.381675415461032,4.599704559259875,82.15118035636672,1.3044170198954895e-4,
CDARREST,25,17,0.68,2976,55,0.018481182795698926,111.93472135083496,43.50893145287621,314.7917709905671,3.6517243434270267e-23,
CDMI,20,5,0.25,2981,67,0.02247567930224757,14.44519860323394,3.9917106307938317,43.39932711856298,8.096436665844791e-5,
OTHBLEED,79,12,0.1518987341772152,2922,60,0.02053388090349076,8.52708800247752,3.9860568152796527,16.975099628705674,2.045729373743466e-7,
OTHDVT,33,3,0.09090909090909091,2968,69,0.02324797843665768,4.197396324977637,0.8007111207581357,14.00879149153143,0.043204577369698634,
Sepsis/Shock,141,33,0.23404255319148937,2860,39,0.013636363636363636,22.02608146919492,12.890329631393591,37.511660854952794,2.5665951201814227e-26,
RETURNOR,150,16,0.10666666666666667,2851,56,0.019642230796211857,5.951929957072645,3.1016265752286443,10.866816508878902,2.505006713035006e-7,
