variable,VIF
`ASACLAS_3-Severe Disturb`,139980965.15598133
`ASACLAS_4-Life Threat`,107509557.66845098
`ASACLAS_2-Mild Disturb`,48496551.5129696
`Age_Group_>70`,11210979.763762755
`Age_Group_50-70`,11210971.06276229
Race_White,9362920.084295914
`Anemia_>30`,9023534.269054124
`Anemia_24-30`,9023533.973362882
Race_Black,4076967.2640336044
Race_Hispanic,4006645.403622381
Race_Other,1969998.5867386411
WEIGHT,61.03920499592671
BMI,42.25282115778907
HEIGHT,16.484259600083966
Leukocytosis_Y,7.9046639899334
PRCREAT,6.069521576735234
DIALYSIS_Yes,5.6534640842839705
DYSPNEA_No,5.09060489856918
`DYSPNEA_MODERATE EXERTION`,4.834107298790401
Leukocytosis_N,4.3724938402177225
Age,3.9108112126445476
PRWBC,3.696827099917227
DIABETES_NO,3.162185886508214
SEX_male,2.338513047945103
DIABETES_ORAL,2.0906462608523384
PRBUN,2.0172526762502745
`DIABETES_NON-INSULIN`,1.84062903890572
PRALBUM,1.8067501634010767
RENAFAIL_Yes,1.799120838725105
PRALKPH,1.7800505736470158
PRSGOT,1.7361473531701952
SMOKE_Yes,1.6893306913693646
PRHCT,1.6120996061740778
RADIO_Yes,1.609687122622346
`FNCTSTATUS_Totally Dependent`,1.531501675674288
CVA_Yes,1.4955949107104756
HEMI_Yes,1.4403303133971794
PRVPCI_Yes,1.429731762138304
HXCOPD_Yes,1.419723520449478
PRPLATE,1.4165153278491103
CHEMO_Yes,1.413148063895492
PACKS,1.399968551533962
HXTIA_Yes,1.3833309440650547
`FNCTSTATUS_Partially Dependent`,1.3509661119972673
PRPTT,1.3367373526661364
PRVPCS_Yes,1.3363077061950432
DNR_Yes,1.3251291181654792
STEROID_Yes,1.3244990805261425
WTLOSS_Yes,1.311320414191529
BLEEDDIS_Yes,1.3016503523689085
HYPERMED_Yes,1.2989235126974765
PRINR,1.292788588343892
PRBILI,1.2885411433427392
DISCANCR_Yes,1.2848014021056697
PRSODM,1.278221315132948
ETOH_Yes,1.2767037937826176
HXPVD_Yes,1.2341957532787977
RBC,1.2333705803075623
CVANO_Yes,1.1878429831462334
