feature,coef,odds_ratio,abs_coef
`Open vs VATS_VATS`,-3776.0304990688583,0,3776.0304990688583
`Open vs VATS_open`,-3775.0520920026206,0,3775.0520920026206
`FNCTSTATUS_Partially Dependent`,19.398070765183526,265751113.49408722,19.398070765183526
ANESTHES_Epidural,19.33901083876234,250510360.96268818,19.33901083876234
`ATTEND_Attending Alone`,18.44905092251411,102877644.49271297,18.44905092251411
Race_Other,18.42361901959443,100294259.6604962,18.42361901959443
SURGSPEC_Thoracic,18.36163046907155,94265937.58779916,18.36163046907155
`WNDCLAS_3-Contaminated`,18.32565242981369,90934718.67213717,18.32565242981369
Race_Black,18.086758806354414,71610968.12872241,18.086758806354414
SURGSPEC_Vascular,17.743252624439485,50792162.768662706,17.743252624439485
Race_Hispanic,17.66034300427579,46750850.41720116,17.66034300427579
`SURGSPEC_General Surgery`,17.471000451345667,38686468.71860438,17.471000451345667
Resection_Pneumonectomy,17.46325408207302,38387946.76944592,17.46325408207302
FNCTSTATUS_Independent,17.317958003789638,33196599.49493698,17.317958003789638
Race_White,17.31371970295643,33056200.057333067,17.31371970295643
Resection_Bilobectomy,16.560333009390032,15561850.702483287,16.560333009390032
Resection_Lobectomy,16.552004211470113,15432777.451373022,16.552004211470113
`WNDCLAS_2-Clean/Contaminated`,16.30979056928724,12113009.148810653,16.30979056928724
ANESTHES_General,16.222269446545987,11097933.153373798,16.222269446545987
`Anemia_>30`,15.745469958754565,6889230.538588104,15.745469958754565
`WNDCLAS_4-Dirty/Infected`,15.023164920586487,3345627.8118541413,15.023164920586487
`ASACLAS_3-Severe Disturb`,15.022261929530005,3342608.1034517493,15.022261929530005
`Anemia_24-30`,14.809560179250767,2702155.0499328827,14.809560179250767
`ASACLAS_4-Life Threat`,14.447883577873775,1882071.477357862,14.447883577873775
Resection_Segmentectomy,14.406293254157376,1805400.9429808583,14.406293254157376
`ASACLAS_2-Mild Disturb`,13.824117246285077,1008643.8323486125,13.824117246285077
`Attend vs Resident_Attending`,-12.783787034980799,2.8058976987616923e-6,12.783787034980799
`ATTEND_Attending in OR Suite`,8.87982851219047,7185.558394468881,8.87982851219047
DNR_No,-4.8791576355232,0.007603416178417805,4.8791576355232
`ATTEND_Attending & Resident in OR`,4.329362908991746,75.89591855613489,4.329362908991746
`ATTEND_Attending in OR`,3.763575635695811,43.10226878277353,3.763575635695811
DIALYSIS_No,-3.653628020672914,0.025897003274116148,3.653628020672914
HXTIA_No,3.6308370353475126,37.74439679276238,3.6308370353475126
RADIO_No,-2.886764534456475,0.05575631873889574,2.886764534456475
CPNEUMON_No,-2.812349425784913,0.06006371126062033,2.812349425784913
PRVPCS_No,2.7941713874242375,16.34907608892926,2.7941713874242375
PRBILI,-2.269928161823386,0.10331960210832858,2.269928161823386
CVA_No,-2.229196561148663,0.10761485736903866,2.229196561148663
CVANO_No,-1.8389938495532934,0.15897730074662578,1.8389938495532934
WNDINF_No,-1.7524348527870144,0.17335134417222142,1.7524348527870144
CHEMO_No,1.6598179276507494,5.258353356534693,1.6598179276507494
`TRANST_From acute care hospital inpatient`,1.6477147478106557,5.1950941511860815,1.6477147478106557
`DIABETES_NON-INSULIN`,-1.5058617054223826,0.22182606273026334,1.5058617054223826
`DYSPNEA_AT REST`,1.485700988122164,4.418061336068653,1.485700988122164
RENAFAIL_No,-1.432122494858232,0.23880152894707798,1.432122494858232
PRVPCI_No,-1.4201768556358516,0.24167127219081638,1.4201768556358516
HXPVD_No,-1.3522385594906667,0.25866058496138233,1.3522385594906667
SEX_female,-1.0818869569670464,0.33895532770478515,1.0818869569670464
STEROID_No,1.010056456643835,2.745756026811216,1.010056456643835
DISCANCR_No,-1.0006356484160133,0.36764567349227645,1.0006356484160133
Leukocytosis_Leukopenia,-0.8328002211210186,0.4348299598887405,0.8328002211210186
`Age_Group_>70`,-0.650188361471696,0.5219474527107347,0.650188361471696
PRINR,-0.6407379518981617,0.5269034511371388,0.6407379518981617
`DYSPNEA_MODERATE EXERTION`,0.6231647969753957,1.8648204909750452,0.6231647969753957
`Thoracic Surgeon_No`,0.6148257308523074,1.8493342895643579,0.6148257308523074
PrOper30_No,-0.6049431102197944,0.546105493577504,0.6049431102197944
SMOKE_No,-0.5769718483296334,0.5615963933831917,0.5769718483296334
Leukocytosis_N,-0.558152049134653,0.5722656060510193,0.558152049134653
PRALBUM,-0.5504648936175043,0.5766816524333093,0.5504648936175043
HEIGHT,-0.5392061045059164,0.5832110772787289,0.5392061045059164
ETOH_No,-0.5259297575484677,0.5910056169069862,0.5259297575484677
BMI,-0.4658418969976613,0.6276065026761128,0.4658418969976613
DIABETES_NO,0.36813568840549643,1.4450381005876847,0.36813568840549643
HYPERMED_No,0.36282803652515155,1.4373886596385481,0.36282803652515155
`TRANST_Admitted directly from home`,0.2790987260638167,1.3219378471476548,0.2790987260638167
HXCOPD_No,-0.2617047060529966,0.769738289208441,0.2617047060529966
PRCREAT,-0.21657905793000756,0.8052688695161536,0.21657905793000756
`Age_Group_50-70`,-0.20946380144963106,0.8110189966137444,0.20946380144963106
DIABETES_INSULIN,0.20215863120169741,1.2240421639907628,0.20215863120169741
PRSODM,-0.15349032874654248,0.857709059280421,0.15349032874654248
RBC,0.12080445573116441,1.128404237810591,0.12080445573116441
WTLOSS_No,-0.09007390831737863,0.9138636406512103,0.09007390831737863
Age,0.0874253894317272,1.091360834353175,0.0874253894317272
WEIGHT,0.08412215091134147,1.0877617567839077,0.08412215091134147
`TRANST_Not transferred (admitted from home)`,-0.0596044665599112,0.9421371066276624,0.0596044665599112
PGY,-0.04502405078929757,0.955974489615587,0.04502405078929757
PRWBC,0.040128570258962666,1.0409446001059892,0.040128570258962666
PRHCT,-0.03922604195068393,0.9615333377084571,0.03922604195068393
WORKRVU,0.026990241866310227,1.0273577776200349,0.026990241866310227
PRSGOT,0.025196598203878224,1.0255167154514842,0.025196598203878224
OPTIME,-0.024367085546445875,0.9759273951547351,0.024367085546445875
SURGANE,-0.023640469344034337,0.9766367775055756,0.023640469344034337
PRBUN,-0.022707100802733315,0.977548765094031,0.022707100802733315
PRPTT,0.017166085170563262,1.017314269108976,0.017166085170563262
DPATRM,0.016474140309078764,1.0166105872105644,0.016474140309078764
ANESURG,-0.015874383130741278,0.9842509508130742,0.015874383130741278
ANETIME,0.0100154543618297,1.0100657768855357,0.0100154543618297
