variable,missing_rate,missing_count
DOpertoD,0.978014656895403,2936
MALLAMP,0.5496335776149234,1650
AIRTRA,0.42005329780146566,1261
PRALBUM,0.4027315123251166,1209
PRBILI,0.39740173217854763,1193
RBC,0.3844103930712858,1154
Transfusion,0.3844103930712858,1154
TOTSLOS,0.38341105929380415,1151
DSDtoHD,0.38341105929380415,1151
PRSGOT,0.37841439040639574,1136
PRALKPH,0.3770819453697535,1132
PODIAGTX,0.35276482345103266,1059
PRPTT,0.29480346435709526,885
PRINR,0.22718187874750168,682
PACKS,0.1419053964023984,426
>30 Pack Years,0.1419053964023984,426
PRBUN,0.0966022651565623,290
Race,0.07561625582944703,227
PRSODM,0.06095936042638241,183
PRCREAT,0.05463024650233178,164
PRHCT,0.03830779480346436,115
Anemia,0.03830779480346436,115
PRWBC,0.03597601598934044,108
Leukocytosis,0.03597601598934044,108
PRPLATE,0.034643570952698204,104
PrOper30,0.024983344437041973,75
PGY,0.017321785476349102,52
PRSEPIS,0.009660226515656229,29
BMI,0.008660892738174551,26
BMI Group,0.008660892738174551,26
