feature,coef,std_error,z_value,p_value,conf_low_logit,conf_high_logit,odds_ratio,or_ci_low,or_ci_high,abs_coef
Functional_dependence_Dependent,1.0482388800157219,0.5026494505130743,2.085427287239134,0.0370305320674989,0.06304595701009619,2.0334318030213474,2.852622880535454,1.0650757858052191,7.64026129126793,1.0482388800157219
ASA_simple_3,0.8662274571753663,0.6107346593483424,1.4183368242104293,0.15609245052058368,-0.33081247514738465,2.063267389498117,2.3779230941239304,0.7183398629878788,7.871647576466657,0.8662274571753663
SEX_male,0.8566577112236016,0.312947648645038,2.7373834407532764,0.006193006201452821,0.24328031987932708,1.4700351025678762,2.3552755128584946,1.275426101302946,4.349387813064063,0.8566577112236016
Dyspnea_any_Any,0.813578750932297,0.30138873707158054,2.6994331601020316,0.006945770653790996,0.2228568262719992,1.4043006755925949,2.255967101660743,1.2496416450743575,4.07267762228966,0.813578750932297
PRALBUM,-0.7429109221210692,0.2683616409008569,-2.7683200908565357,0.005634608535406383,-1.2688997382867488,-0.21692210595538974,0.47572709351476805,0.2811407801060401,0.8049926709979511,0.7429109221210692
ASA_simple_4,0.5956960562108177,0.7108276846761054,0.8380315919775292,0.40201296075502096,-0.7975262057543487,1.9889183181759842,1.8142933557132541,0.4504418875272639,7.307624960580574,0.5956960562108177
HXCOPD_Yes,0.5001964087274604,0.3013527936702677,1.6598366407539005,0.09694732041622275,-0.09045506686626426,1.090847884321185,1.6490451257497813,0.9135153800875222,2.9767969823327727,0.5001964087274604
DISCANCR_Yes,0.15604079575514856,0.5498326213129777,0.28379690419700737,0.7765660271229845,-0.9216311420182877,1.233712733528585,1.1688738872101099,0.3978695297980976,3.4339552588885014,0.15604079575514856
PRHCT,-0.06934434860571256,0.02978919629663613,-2.3278354983193386,0.01992084033577119,-0.12773117334711936,-0.010957523864305749,0.9330053456659463,0.8800899389789546,0.9891022911262346,0.06934434860571256
Age,0.04090448599239957,0.01615146719968303,2.5325554320664017,0.011323446437948675,0.009247610281020835,0.0725613617037783,1.0417525988277703,1.0092905015409097,1.0752587837768577,0.04090448599239957
PRCREAT,0.029745658148231817,0.16257148271628816,0.18296971677463564,0.8548217799803997,-0.28889444797569297,0.3483857642721566,1.0301924795663,0.7490912693297856,1.416778686934246,0.029745658148231817
